A,C
0.589305809483,18.82e44
0.281835212827,2.36e44
0.156123059884,4.36e44
0.391727116072,1.88e44
1.5299682248,7.66e44
0.179344926967,1.98e44
0.456956251838,4.91e44
0.216112000159,6.85e44
1.28785797912,1.26e44
14.4037492154,2.14e44
0.197198632247,11.65e44
0.518684822856,2.19e44
0.18657978743,1.58e44
0.251867814481,9.96e44
0.61252625551,44.42e44
0.0727951398905,4.89e44
0.826102261372,4.04e44
0.247466385466,2.86e44
0.0934188377299,2.73e44
0.950570220047,3.72e44
9.50353635061,6.02e44
0.457643354167,5.87e44
0.512661278013,4.59e44
1.33115640777,12.33e44
0.253411523157,1.16e44
0.378211963585,1.88e44
0.26156453166,3.83e44
0.410287940216,1.20e44
1.23866803462,12.25e44
0.419052106761,5.88e44
0.729484359749,4.20e44
0.183715181535,7.70e44
0.262367233834,2.26e44
0.839896175287,1.64e44
0.218335564892,3.97e44
0.297237562695,3.83e44
0.383292403902,
1.00526100455,
0.124331925792,
0.389776569913,
0.359665285554,
1.78254195914,
0.220436135596,
0.245100454192,
0.108757699368,
0.617274877691,
0.159126003051,
0.0948283494339,
92.2132556621,
0.101819894707,
0.986991523248,
0.362974630136,
0.189068114008,
0.523181278463,
1.41722167734,
0.160224303461,
0.47642144321,
1.03595039481,
0.297743253702,
0.371207878129,
0.648853605577,
0.552264264226,
0.610336297923,
1.77283812616,
0.333130732293,
0.227290874281,
0.214806907959,
0.296195635264,
0.297004961985,
0.346185819444,
0.184894826635,
0.178558031324,
0.58356319453,
0.646706937419,
0.262367233834,
0.839896175287,
0.218335564892,
1.00526100455,
0.124331925792,
0.389776569913,
1.78254195914,
0.220436135596,
0.245100454192,
0.108757699368,
0.617274877691,
0.159126003051,
0.0948283494339,
92.2132556621,
0.101819894707,
1.78414507666,
0.151232126266,
0.0991770432135,
0.163497847774,
0.409373030149,
1.50069829407,
